epoch,coarse_loss,rec_loss,adv_loss,vgg_loss,fourier_loss_coarse,fourier_loss_refine,tv_loss,gen_loss,disc_loss,gen_lr,disc_lr
31,14.537809828711108,0.0224226922429802,-0.0883536580279514,0.0500287254073312,1.1886643888820885,1.190791941256404,0.0426969488092844,29.099932047417425,1.7686738531497863,6.983372960937497e-05,6.176733962839471e-05
32,14.50321022892522,0.0220367221810637,-0.0764480041541145,0.0490269264532452,1.187557158817817,1.186828194848643,0.0426611693233906,28.988985638854125,1.7492462772651007,6.983372960937497e-05,6.176733962839471e-05
33,14.486983854935035,0.02185556618582,-0.0725234138158271,0.0486945350432246,1.1871248600030542,1.1860413289855645,0.0426528124573974,28.947375706596443,1.7418192781421598,6.983372960937497e-05,6.176733962839471e-05
34,14.471715923632845,0.0216950138325077,-0.0704449786872235,0.0484584843043222,1.1867911547622425,1.1853221782174614,0.0426459369284303,28.90857896694256,1.7370860185326418,6.983372960937497e-05,6.176733962839471e-05
35,14.45964895973415,0.0215590674148291,-0.0689930569623722,0.0482787607059273,1.1865501391080329,1.1847333744431938,0.0426439365464114,28.87668398868172,1.7335521611882243,6.983372960937497e-05,6.176733962839471e-05
36,14.447028671553252,0.0214193272867476,-0.067610847142646,0.0481309684083238,1.1863253431177634,1.1841700206157857,0.0426426972362,28.844360417894944,1.7305515701266017,6.983372960937497e-05,6.176733962839471e-05
37,14.434853417615908,0.021282606687149,-0.0669834586161531,0.0480287628404027,1.1861551205074736,1.183796552167279,0.0426422765375074,28.81438378665126,1.7285448205841978,6.983372960937497e-05,6.176733962839471e-05
38,14.423670367251962,0.0211556404255116,-0.0658893317547856,0.0479192109625102,1.185993134793601,1.1833333822923,0.0426434524996005,28.78587103093667,1.7261215870957902,6.983372960937497e-05,6.176733962839471e-05
39,14.412050283849783,0.0210250284343212,-0.0657049415313739,0.0478218217244538,1.1858239900491236,1.183055328115448,0.0426428127508835,28.75761965879076,1.725260019447834,6.983372960937497e-05,6.176733962839471e-05
40,14.402652769571691,0.0209179216105993,-0.0651558299410845,0.0477522616118392,1.185699124864284,1.1827420036628378,0.0426436113653894,28.73423175567385,1.7240606171827333,6.983372960937497e-05,6.176733962839471e-05
